,tweet_id,created_at,text,user
0,712210073641050112,2016-03-22 09:31:28,b'Best Tax Saver for 2016 is Tax Saving Mutual Funds\xc2\xa0(ELSS) https://t.co/XPQNRaeu5G https://t.co/iOGCljn8xq',MoneyControl
1,558123264686710785,2015-01-22 04:45:30,b'RT @rockingteam: WhatsApp Announces It\xe2\x80\x99s Desktop Version \xe2\x80\x93 WhatsApp Web\xc2\xa0Client http://t.co/VeyFvVxkSE',MoneyControl
2,555253181110689792,2015-01-14 06:40:49,b'Canara Robeco Equity Tax Saver Mutual Fund\xc2\xa0(ELSS) http://t.co/eu4lsZLRrk',MoneyControl
3,511360687482736640,2014-09-15 03:47:43,b'Income Tax Limit Slabs &amp; Rates for Financial Year\xc2\xa02014-15 http://t.co/9nA62JPaWS',MoneyControl
4,499584682862723073,2014-08-13 15:54:04,b'RT @rockingteam: Buy Moto G 16GB at Rs.10799 from\xc2\xa0Flipkart http://t.co/K58OhGMTMs',MoneyControl
5,498838022855475201,2014-08-11 14:27:07,b'RT @rockingteam: Xiaomi Mi3 Selling Will Start at 2:00 PM Tomorrow on\xc2\xa0Flipkart http://t.co/7MiEOdR5k0',MoneyControl
6,466815148380790784,2014-05-15 05:39:39,"b'Canara Bank to announce Consolidated FY14 results on May 26, 2014'",MoneyControl
7,466428770359214080,2014-05-14 04:04:19,"b'Buy Prestige @ 180.60, Target 186/793 StopLoss at 175. http://t.co/zwIR011KZ7'",MoneyControl
8,466422910987812864,2014-05-14 03:41:02,"b'Buy Zee Ent @ 276.50, Target 295 with StopLoss 255. http://t.co/zwIR011KZ7'",MoneyControl
9,466420646705373184,2014-05-14 03:32:02,"b'NSE / BSE Intraday Tips for 14 May 2014. Tips for Hero Motocorp Ltd, Federal Bank, BGR Energy, Adani Ent .. http://t.co/zwIR011KZ7'",MoneyControl
10,466416687622148096,2014-05-14 03:16:18,b'Stocks to Watch Today (14 May\xc2\xa02014) http://t.co/zwIR011KZ7',MoneyControl
11,466416679707480064,2014-05-14 03:16:16,b'Stocks to Watch Today (14 May 2014) http://t.co/zwIR011KZ7 http://t.co/VDu2DNmL7N',MoneyControl
12,466241267014197249,2014-05-13 15:39:15,b'Save Tax with 5 Year Tax Saver Fixed Deposits under Section 80C - Money Investment Plans http://t.co/VNB1ECrns2',MoneyControl
13,466166285814865920,2014-05-13 10:41:18,b'NSE Market Summary for 13 May\xc2\xa02014 http://t.co/P8w6KODdd5',MoneyControl
14,466166265305108480,2014-05-13 10:41:13,b'NSE Market Summary for 13 May 2014 http://t.co/tNtvOjaJvB http://t.co/kdO8F5MzJf',MoneyControl
15,466107790994309120,2014-05-13 06:48:51,b'Save Tax with 5 Year Tax Saver Fixed Deposits under Section\xc2\xa080C http://t.co/wFt7MdLVwU',MoneyControl
16,466107768605511680,2014-05-13 06:48:46,b'Save Tax with 5 Year Tax Saver Fixed Deposits under Section 80C http://t.co/Njn7irykTb http://t.co/Kd0JHiOoRw',MoneyControl
17,412070730596380672,2013-12-15 04:04:52,b'Join Us of Google Plus http://t.co/gtnkwyxfjg',MoneyControl
18,410789090117050370,2013-12-11 15:12:05,b'Best Performing 5 Tax Saving Mutual Funds (ELSS) - Money Investment Plans http://t.co/SMzPuL1wIb',MoneyControl
19,410786747274911746,2013-12-11 15:02:47,b'Best Performing 5 Tax Saving Mutual Funds (ELSS) http://t.co/LMW7n5BrtK',MoneyControl
20,409898529910317056,2013-12-09 04:13:19,"b'Market hits record high on state polls. Nifty hits record high of 6400, Sensex up 450 pts'",MoneyControl
